,BIC,FSV,LLR,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,PER_prob,SE_prob,linear_prob,pval,qval,max_ll_null
51,572.046550099,0.327823665435,27.8919421615,4,CLEC3A,1.84394040136,1.91919779343,-274.980353214,-3.98300629924,1.14637384793,SE,250,0.000661136945338,0.0151426490174,0.00128102302551,1.0888630943e-06,0.999998911137,5.20839721699e-20,1.28282887535e-07,6.87222118765e-05,-302.872295375
52,687.173670426,0.260158444055,16.0343144952,4,PRSS23,1.84394040136,2.66181344455,-332.543913377,-9.36877606658,5.12216905303,SE,250,0.000892788518978,0.0255074218593,0.0012788772583,0.00341261034447,0.996587389653,2.95187245014e-12,6.22048052712e-05,0.0112643264982,-348.578227872
53,677.442679246,0.251101486377,12.5904359979,4,RPL28,1.84394040136,2.79158274031,-327.678417787,-3.48814060227,0.908645542993,SE,250,0.00122754559583,0.0364505022453,0.00129294395447,0.00470203461187,0.99529795565,9.73773066699e-09,0.000387725686145,0.0441149482015,-340.268853785
54,622.609660794,0.230110545253,13.4980469155,4,MMP11,1.84394040136,3.1316171949,-300.261908561,-4.32493373768,1.17877768318,SE,250,0.000946763344369,0.0310562209979,0.00157499313354,0.000372991380376,0.999627008147,4.72491741997e-10,0.000238811884149,0.0295231191779,-313.759955477
55,609.132915699,0.25380713405,13.5461741327,4,TMSB4X,1.84394040136,2.75184575157,-293.523536014,-7.98502378453,3.69524806389,SE,250,0.00149844108639,0.0439732949175,0.00126814842224,0.00399114705885,0.994863044697,0.00114580824466,0.0002327654158,0.0295231191779,-307.069710146
56,729.712802843,0.313577588105,22.4108216386,4,IGFBP5,1.84394040136,2.04891177779,-353.813479586,-6.7133922262,2.99714823771,SE,250,0.000930331231311,0.0221321977906,0.00111413002014,0.000115490150435,0.99988450985,8.56975298329e-18,2.20130202222e-06,0.000673860478564,-376.224301224
57,599.18011218,0.222935777741,14.7665390433,4,GPC3,1.84394040136,3.26252584942,-288.547134254,-4.35947725042,1.16510224166,SE,250,0.000666728253259,0.022709212068,0.00157809257507,1.50218539752e-05,0.999984977118,1.02759064595e-09,0.000121675546308,0.0186894068835,-303.313673298
58,638.129167577,0.198743056441,12.4260221756,4,HPN,1.84394040136,3.77360693157,-308.021661953,-6.29826621354,2.20393552266,SE,250,0.000907900799013,0.0356661697834,0.00158405303955,0.0251110045519,0.974888991516,3.93242332336e-09,0.000423392738747,0.0477505301936,-320.447684128
59,622.430297511,0.316172959083,25.6907177726,4,SERPINA5,1.84394040136,2.02440949634,-300.17222692,-5.42624304725,1.96299814623,SE,250,0.000865382892431,0.020439048512,0.00112199783325,0.000317331963197,0.999682668037,1.6088719135e-18,4.0074996599e-07,0.000177670424577,-325.862944693
60,649.761873433,0.276612711646,20.3140430795,4,TFF3,1.84394040136,2.44779790193,-313.838014881,-3.90748742882,1.10019077541,SE,250,0.000799800715698,0.0214335582249,0.00126981735229,2.65790868223e-05,0.999949836017,2.35848963597e-05,6.57164822226e-06,0.0017602433582,-334.15205796
61,665.634349613,0.230061676505,12.630907491,4,BST2,1.84394040136,3.13248122172,-321.774252971,-4.98031237283,1.53885035237,SE,250,0.000830967045918,0.0272646202306,0.00156092643738,9.6393003386e-07,0.999997605977,1.43009244491e-06,0.000379420940594,0.043555491368,-334.405160462
62,579.103550454,0.237992350041,17.6539924143,4,BASP1,1.84394040136,2.99690622134,-278.508853391,-3.36688939568,0.766439460668,SE,250,0.000713243513247,0.0224978338791,0.00142908096313,0.000149942652891,0.999850057335,1.23768523691e-11,2.64958516669e-05,0.00587339939451,-296.162845806
63,464.95828074,0.398028688637,24.841779059,4,STC2,1.84394040136,1.41559245058,-221.436218534,-3.14541537221,0.788047283609,SE,250,0.000744100558864,0.0149051953235,0.00115418434143,5.23835062585e-07,0.999999476165,2.26425707445e-18,6.22338883982e-07,0.00024246700095,-246.277997593
64,504.40457907,0.37213031367,35.1668908003,4,CILP,1.84394040136,1.57925145657,-241.159367699,-3.01117779114,0.742412094802,SE,250,0.000537444831737,0.0112053026238,0.00116991996765,1.34839015797e-13,1.0,7.43766285753e-26,3.02625147164e-09,2.28873618652e-06,-276.326258499
65,-256.134433919,0.999951498262,24.1704231061,4,SMYD1,1.84394040136,4.53999297625e-05,139.110138795,-1.13097994307,2.8941231084,SE,250,6.08728521766e-10,0.187401254007,0.00164604187012,1.45240071798e-21,1.0,2.53891437222e-19,8.81760975346e-07,0.000298336864738,114.939715689
66,-47.5101463847,0.214647722098,14.1494094748,4,SLC16A6,1.84394040136,3.42464093202,34.7979950281,-1.60905319379,0.147501170358,SE,250,0.000832370859689,0.0296860724017,0.00167202949524,0.00235496608983,0.996118030824,0.00152700308576,0.000168850096133,0.0238561064394,20.6485855533
67,472.137003845,0.675493783252,106.296286535,4,log_total_count,1.84394040136,0.449654023868,-225.025580087,7.54417493945,4.33786505737,SE,250,0.00023268109565,0.00537466476017,0.00137090682983,4.65404555101e-24,1.0,3.0011349755e-50,0.0,0.0,-331.321866622
68,717.523080729,0.215512518083,26.5379262407,4,HTRA1,3.12566321386,3.03834867817,-347.718618529,-4.81976586728,0.887523327774,SE,250,0.00113967572684,0.0404459084592,0.00140595436096,0.00145296403131,0.998547035969,2.26104897799e-13,2.58414704191e-07,0.00012305325377,-374.256544769
69,371.408093085,0.203124751419,20.5753568189,4,RPL41,3.12566321386,3.27454969519,-174.661124707,-3.52012384212,0.386990493151,SE,250,0.00103055739354,0.0393746620102,0.00114297866821,0.479211651342,0.520788348649,8.85142793015e-12,5.73293584405e-06,0.00156826289674,-195.236481525
70,657.623000412,0.284256021935,24.9536063698,4,COL5A2,3.12566321386,2.10170677308,-317.76857837,-4.20932141607,0.795143644703,SE,250,0.00178236615935,0.0464791292661,0.00115990638733,1.43569495941e-08,0.999999985518,1.25472049818e-10,5.8726575547e-07,0.00024246700095,-342.72218474
71,722.393953349,0.434655969622,52.1577517031,4,POSTN,3.12566321386,1.08565355057,-350.154054839,-7.39712855141,2.34185288724,SE,250,0.00266990842387,0.0513856009931,0.000984191894531,0.00962517028313,0.986908537643,0.00346629207357,5.1214588126e-13,8.23082449419e-10,-402.311806542
72,678.645250325,0.180554486988,14.6981109571,4,COX6B1,3.12566321386,3.78822609112,-328.279703327,-5.64385630848,1.00367106429,SE,250,0.00131198469873,0.0584641231669,0.00117897987366,0.172397861788,0.827602138131,8.10352133154e-11,0.000126172821244,0.0190847525028,-342.977814284
73,698.213334061,0.190541575854,16.4572122204,4,CST3,3.12566321386,3.54591964327,-338.063745195,-4.80651510661,0.815790321395,SE,250,0.00132743208941,0.0550745999433,0.00152897834778,0.0109354980904,0.989064498966,2.94320920634e-09,4.97605142104e-05,0.00984262971081,-354.520957415
74,738.042167517,0.334320615727,37.7025036772,4,SPARC,3.12566321386,1.66198096077,-357.978161923,-5.91183629393,1.51420855652,SE,250,0.00261316295306,0.0589029108271,0.00129389762878,0.397126697547,0.602873302453,2.961526511e-15,8.23987322818e-10,6.62125313092e-07,-395.6806656
75,603.308737166,0.47118292582,70.9277927799,4,COL12A1,3.12566321386,0.936785196886,-290.611446747,-3.93279705966,0.980558934712,SE,250,0.0012900813808,0.0242910644115,0.00110006332397,7.42220076155e-08,0.999999925778,9.3781195433e-36,0.0,0.0,-361.539239527
76,715.554402189,0.481935209156,70.5849129656,4,COL3A1,3.12566321386,0.89726249793,-346.734279259,-7.04381296344,2.33072814847,SE,250,0.00139580808103,0.0261983477448,0.00110292434692,0.000248951595131,0.999751048405,4.54668992721e-28,0.0,0.0,-417.319192224
77,523.009843808,0.14461776075,15.2454145331,4,LOX,3.12566321386,4.93699503955,-250.462000068,-2.6782559052,0.255385970034,SE,250,0.000814589307765,0.0495968171379,0.00140786170959,0.0331402123565,0.966859741763,4.58805216091e-08,9.44056812544e-05,0.0156996540983,-265.707414601
78,733.604580772,0.17073278519,14.9906054456,4,LY6E,3.12566321386,4.05416729376,-355.75936855,-5.72515410849,1.05095304324,SE,250,0.00142875871967,0.0687003870528,0.00114917755127,0.125235916351,0.874764082806,8.43170095158e-10,0.000108047739425,0.0175844276682,-370.749973996
79,561.335079968,0.135023161804,13.3604976154,4,CST1,3.12566321386,5.34712454542,-269.624618148,-4.51646609843,0.57733639679,SE,250,0.000929053067102,0.0626219408622,0.00116682052612,0.321242687512,0.678757267023,4.54647591755e-08,0.000256980111201,0.0311697480161,-282.985115764
80,648.239283324,0.209892775449,13.6437751445,4,CTSD,3.12566321386,3.14204671392,-313.076719826,-4.64724789177,0.768451184748,SE,250,0.00206191200281,0.0756024425134,0.00116896629333,0.0467076020651,0.953292397056,8.78507322867e-10,0.000220972693164,0.0292891331547,-326.720494971
81,719.989416701,0.234589063566,16.0386789708,4,AEBP1,3.12566321386,2.72339726278,-348.951786515,-2.42145506862,0.466159920314,SE,250,0.00194817386301,0.0624819395225,0.00118708610535,8.02540883075e-06,0.999991972703,1.8882219688e-09,6.20615843492e-05,0.0112643264982,-364.990465486
82,641.760325183,0.128316459128,13.5735552841,4,WFDC2,3.12566321386,5.67022867447,-309.837240756,-5.51755515457,0.837412405993,SE,250,0.000790427578579,0.0575366984807,0.00133991241455,0.224823288872,0.775148316982,2.83941463152e-05,0.000229394477272,0.0295231191779,-323.41079604
83,762.873311634,0.185601442881,16.5556568039,4,CST4,3.12566321386,3.66251778612,-370.393733981,-6.11474282525,1.23541076125,SE,250,0.00147379717816,0.0633016035196,0.00117993354797,0.136092064197,0.863907935777,2.60626469241e-11,4.72428478361e-05,0.00949064522857,-386.949390785
84,744.86207613,0.187352153076,14.8319474121,4,PPP1R1B,3.12566321386,3.62049369598,-361.38811623,-5.42671076892,1.0169586726,SE,250,0.00146287322413,0.0620565141461,0.00113415718079,0.00367242086186,0.99632755812,2.10181516599e-08,0.000117527620017,0.0184274708605,-376.220063642
85,570.536536765,0.215219563605,26.3600215002,4,ANTXR1,3.12566321386,3.04362061245,-274.225346547,-3.48879021621,0.473423948667,SE,250,0.000896844069637,0.0318811890403,0.00114297866821,1.08302762694e-05,0.999989169724,1.81007422792e-14,2.83344922525e-07,0.000130105916746,-300.585368047
86,711.393888682,0.252229624422,28.2243828318,4,AZGP1,3.12566321386,2.47455013702,-344.654022505,-5.98975640679,1.29602738318,SE,250,0.00164717408014,0.0486698530334,0.00130987167358,3.07527437083e-05,0.999969247248,8.5617894796e-12,1.0803501449e-07,6.03915730999e-05,-372.878405337
87,632.649541505,0.281203319741,30.8644539282,4,SOD2,3.12566321386,2.13358384458,-305.281848917,-5.15199319644,1.00378995974,SE,250,0.00154952940345,0.040842943917,0.00135087966919,0.330871562914,0.669128437086,4.25021463462e-22,2.76693620238e-08,1.69402375019e-05,-336.146302845
